2025-08-11 16:27:57:288 | IntuneMDM-Daemon | I | 89007856 | FullSyncWorkflow | Starting sidecar gateway service checkin
2025-08-11 16:27:57:288 | IntuneMDM-Daemon | I | 89007856 | SyncActivityRunner | Started executing sync activity Context: apply script policies
2025-08-11 16:27:57:288 | IntuneMDM-Daemon | I | 89007856 | SyncActivityTracer | Retrieving data Context: apply script policies
2025-08-11 16:27:57:288 | IntuneMDM-Daemon | I | 89007862 | SyncActivityRunner | Started executing sync activity Context: apply log upload policies
2025-08-11 16:27:57:288 | IntuneMDM-Daemon | I | 89007856 | SidecarService | Getting script policies from GW
2025-08-11 16:27:57:288 | IntuneMDM-Daemon | I | 89007862 | SyncActivityTracer | Retrieving data Context: apply log upload policies
2025-08-11 16:27:57:288 | IntuneMDM-Daemon | I | 89007862 | SidecarService | Getting generic policies from GW
2025-08-11 16:27:57:288 | IntuneMDM-Daemon | I | 89007865 | SyncActivityRunner | Started executing sync activity Context: apply mac app policies
2025-08-11 16:27:57:288 | IntuneMDM-Daemon | I | 89007865 | SyncActivityTracer | Retrieving data Context: apply mac app policies
2025-08-11 16:27:57:288 | IntuneMDM-Daemon | I | 89007865 | SidecarService | Getting mac app policies from GW
2025-08-11 16:27:57:289 | IntuneMDM-Daemon | I | 89007862 | HttpClientLogger | Priming connection for data upload Size: 2
2025-08-11 16:27:57:289 | IntuneMDM-Daemon | I | 89007865 | HttpClientLogger | Priming connection for data upload Size: 2
2025-08-11 16:27:57:289 | IntuneMDM-Daemon | I | 89007856 | HttpClientLogger | Priming connection for data upload Size: 2
2025-08-11 16:27:57:845 | IntuneMDM-Daemon | I | *89007833 | HttpClientLogger | Network request succeeded. Method: HEAD, StatusCode: 200, Description: ok, URL: https://agents.msua08.manage.microsoft.com/TrafficGateway/TrafficRoutingService/SideCar/StatelessSideCarGatewayService/SideCarGatewaySessions('21D663F4-2A2C-4DAA-AA98-9E535EACA7BC')?api-version=1.1, ClientRequestId: 35C8FD01-DE7A-4D3B-BD41-05BBBE0932EC
2025-08-11 16:27:57:862 | IntuneMDM-Daemon | I | *89007833 | HttpClientLogger | Network request succeeded. Method: HEAD, StatusCode: 200, Description: ok, URL: https://agents.msua08.manage.microsoft.com/TrafficGateway/TrafficRoutingService/SideCar/StatelessSideCarGatewayService/SideCarGatewaySessions('3D1D48B7-7A05-419C-A21C-BD64D85D8AA5')?api-version=1.1, ClientRequestId: B73C968F-DEF4-444D-9C0F-4D042B04E149
2025-08-11 16:27:57:864 | IntuneMDM-Daemon | I | *89007833 | HttpClientLogger | Network request succeeded. Method: HEAD, StatusCode: 200, Description: ok, URL: https://agents.msua08.manage.microsoft.com/TrafficGateway/TrafficRoutingService/SideCar/StatelessSideCarGatewayService/SideCarGatewaySessions('CCD7113D-C694-48AB-9AF4-394B6D808CF6')?api-version=1.1, ClientRequestId: C6F0C5BC-583E-4D5C-A54D-DE4C8416B2B3
2025-08-11 16:27:58:202 | IntuneMDM-Daemon | I | *89007833 | HttpClientLogger | Network request succeeded. Method: PUT, StatusCode: 200, Description: ok, URL: https://agents.msua08.manage.microsoft.com/TrafficGateway/TrafficRoutingService/SideCar/StatelessSideCarGatewayService/SideCarGatewaySessions('CCD7113D-C694-48AB-9AF4-394B6D808CF6')?api-version=1.1, ClientRequestId: C6F0C5BC-583E-4D5C-A54D-DE4C8416B2B3
2025-08-11 16:27:58:202 | IntuneMDM-Daemon | I | 89007863 | SidecarService | Successfully received response from Sidecar GW service.
2025-08-11 16:27:58:202 | IntuneMDM-Daemon | I | 89007863 | SyncActivityTracer | Validating data Context: apply log upload policies, Count: 0, PolicyID: []
2025-08-11 16:27:58:202 | IntuneMDM-Daemon | I | 89007863 | SyncActivityTracer | Processing data Context: apply log upload policies, Count: 0, PolicyID: []
2025-08-11 16:27:58:202 | IntuneMDM-Daemon | I | 89007863 | SyncActivityTracer | Reporting results Context: apply log upload policies, Count: 0, PolicyID: []
2025-08-11 16:27:58:202 | IntuneMDM-Daemon | I | 89007863 | SyncActivityRunner | Finished executing sync activity Context: apply log upload policies
2025-08-11 16:27:58:202 | IntuneMDM-Daemon | I | 89007863 | ExecutionClock | Activity measurement. ID: E8A60835-A4FC-4494-BF7E-FE1DEB4E8CB9, Context: apply log upload policies, Duration: 0.9138530492782593, Status: success
2025-08-11 16:27:58:269 | IntuneMDM-Daemon | I | *89007833 | HttpClientLogger | Network request succeeded. Method: PUT, StatusCode: 200, Description: ok, URL: https://agents.msua08.manage.microsoft.com/TrafficGateway/TrafficRoutingService/SideCar/StatelessSideCarGatewayService/SideCarGatewaySessions('21D663F4-2A2C-4DAA-AA98-9E535EACA7BC')?api-version=1.1, ClientRequestId: 35C8FD01-DE7A-4D3B-BD41-05BBBE0932EC
2025-08-11 16:27:58:270 | IntuneMDM-Daemon | I | 89007890 | SidecarService | Successfully received response from Sidecar GW service.
2025-08-11 16:27:58:270 | IntuneMDM-Daemon | I | 89007890 | SyncActivityTracer | Validating data Context: apply mac app policies, Count: 10, PolicyID: ["1fa0c54e-bb20-4ba3-8fc0-e9b6990d7a3e", "2cab453d-9c86-4834-ba51-c5b96886e0e7", "4a4b431d-4cd1-4965-8b18-2ca38c8ab119", "80f4c7e2-15c1-46d9-900a-574332849086", "a6a07cfd-1f03-4748-b57a-4da6832d6a35", "cd86907b-3b40-4472-9f5f-e673a832b77d", "f2567800-c0a3-4742-ab42-567dc1450776", "b69eea78-ae15-400c-ba0b-5fe91e1f96db", "e33551de-0398-4441-98b4-d8b6de28a4cd", "e6bc7909-8b41-4a16-b0bd-a7fdc6fdae81"]
2025-08-11 16:27:58:270 | IntuneMDM-Daemon | I | 89007890 | SyncActivityTracer | Processing data Context: apply mac app policies, Count: 10, PolicyID: ["1fa0c54e-bb20-4ba3-8fc0-e9b6990d7a3e", "2cab453d-9c86-4834-ba51-c5b96886e0e7", "4a4b431d-4cd1-4965-8b18-2ca38c8ab119", "80f4c7e2-15c1-46d9-900a-574332849086", "a6a07cfd-1f03-4748-b57a-4da6832d6a35", "cd86907b-3b40-4472-9f5f-e673a832b77d", "f2567800-c0a3-4742-ab42-567dc1450776", "b69eea78-ae15-400c-ba0b-5fe91e1f96db", "e33551de-0398-4441-98b4-d8b6de28a4cd", "e6bc7909-8b41-4a16-b0bd-a7fdc6fdae81"]
2025-08-11 16:27:58:271 | IntuneMDM-Daemon | I | 89007856 | AppPolicyHandler | Handling app policy. PolicyID: 1fa0c54e-bb20-4ba3-8fc0-e9b6990d7a3e, Primary BundleID: dockutil.cli.tool, IgnoreVersion: false, Count: 1, AppType: PKG, App Policy Intent: RequiredInstall
2025-08-11 16:27:58:271 | IntuneMDM-Daemon | I | 89007863 | AppPolicyHandler | Handling app policy. PolicyID: 4a4b431d-4cd1-4965-8b18-2ca38c8ab119, Primary BundleID: au.csiro.dialog, IgnoreVersion: false, Count: 1, AppType: PKG, App Policy Intent: RequiredInstall
2025-08-11 16:27:58:271 | IntuneMDM-Daemon | I | 89007890 | AppPolicyHandler | Handling app policy. PolicyID: 80f4c7e2-15c1-46d9-900a-574332849086, Primary BundleID: com.soma-zone.LaunchControl, IgnoreVersion: false, Count: 1, AppType: PKG, App Policy Intent: RequiredInstall
2025-08-11 16:27:58:271 | IntuneMDM-Daemon | I | 89007863 | AppPolicyHandler | Handling app policy. PolicyID: cd86907b-3b40-4472-9f5f-e673a832b77d, Primary BundleID: com.amazon.Amazon-Chime, IgnoreVersion: false, Count: 1, AppType: DMG, App Policy Intent: RequiredInstall
2025-08-11 16:27:58:271 | IntuneMDM-Daemon | I | 89007890 | AppPolicyHandler | Handling app policy. PolicyID: a6a07cfd-1f03-4748-b57a-4da6832d6a35, Primary BundleID: com.spotify.client, IgnoreVersion: false, Count: 1, AppType: PKG, App Policy Intent: RequiredInstall
2025-08-11 16:27:58:271 | IntuneMDM-Daemon | I | 89007856 | AppDetector | Detecting app with specific bundle ID. PolicyID: 1fa0c54e-bb20-4ba3-8fc0-e9b6990d7a3e, AppName: dockutil 3.1.3, BundleID: dockutil.cli.tool, AppType: PKG, IgnoreVersion: false
2025-08-11 16:27:58:271 | IntuneMDM-Daemon | I | 89007890 | AppPolicyHandler | Handling app policy. PolicyID: f2567800-c0a3-4742-ab42-567dc1450776, Primary BundleID: com.fatcatsoftware.pledpro, IgnoreVersion: false, Count: 1, AppType: DMG, App Policy Intent: RequiredInstall
2025-08-11 16:27:58:271 | IntuneMDM-Daemon | I | 89007865 | AppPolicyHandler | Handling app policy. PolicyID: e33551de-0398-4441-98b4-d8b6de28a4cd, Primary BundleID: com.adobe.acc.AdobeCreativeCloud, IgnoreVersion: false, Count: 1, AppType: PKG, App Policy Intent: Available
2025-08-11 16:27:58:271 | IntuneMDM-Daemon | I | 89007890 | AppPolicyHandler | Handling app policy. PolicyID: b69eea78-ae15-400c-ba0b-5fe91e1f96db, Primary BundleID: ch.sudo.cyberduck, IgnoreVersion: false, Count: 1, AppType: DMG, App Policy Intent: Available
2025-08-11 16:27:58:271 | IntuneMDM-Daemon | I | 89007862 | AppPolicyHandler | Handling app policy. PolicyID: e6bc7909-8b41-4a16-b0bd-a7fdc6fdae81, Primary BundleID: com.coconut-flavour.coconutBattery, IgnoreVersion: false, Count: 1, AppType: PKG, App Policy Intent: Available
2025-08-11 16:27:58:271 | IntuneMDM-Daemon | I | 89007862 | AppPolicyHandler | Handling app policy. PolicyID: 2cab453d-9c86-4834-ba51-c5b96886e0e7, Primary BundleID: com.spotify.client, IgnoreVersion: false, Count: 1, AppType: PKG, App Policy Intent: RequiredInstall
2025-08-11 16:27:58:271 | IntuneMDM-Daemon | I | 89007890 | AppDetector | Detecting app with specific bundle ID. PolicyID: 4a4b431d-4cd1-4965-8b18-2ca38c8ab119, AppName: Dialog 2.5.6, BundleID: au.csiro.dialog, AppType: PKG, IgnoreVersion: false
2025-08-11 16:27:58:271 | IntuneMDM-Daemon | I | 89007861 | AppDetector | Detecting app with specific bundle ID. PolicyID: 80f4c7e2-15c1-46d9-900a-574332849086, AppName: LaunchControl 2.8.4, BundleID: com.soma-zone.LaunchControl, AppType: PKG, IgnoreVersion: false
2025-08-11 16:27:58:271 | IntuneMDM-Daemon | I | 89007865 | AppDetector | Detecting app with specific bundle ID. PolicyID: cd86907b-3b40-4472-9f5f-e673a832b77d, AppName: Amazon Chime 5.23.22318, BundleID: com.amazon.Amazon-Chime, AppType: DMG, IgnoreVersion: false
2025-08-11 16:27:58:271 | IntuneMDM-Daemon | I | 89007861 | AppDetector | Detecting app with specific bundle ID. PolicyID: a6a07cfd-1f03-4748-b57a-4da6832d6a35, AppName: Spotify 1.2.69.449, BundleID: com.spotify.client, AppType: PKG, IgnoreVersion: false
2025-08-11 16:27:58:271 | IntuneMDM-Daemon | I | 89007861 | AppDetector | Detecting app with specific bundle ID. PolicyID: f2567800-c0a3-4742-ab42-567dc1450776, AppName: PlistEdit Pro 1.9.7, BundleID: com.fatcatsoftware.pledpro, AppType: DMG, IgnoreVersion: false
